item,frequency
Meist Gesuchte Automarken 2008,5
Meist Gesuchte Personen 2008,5
Meist Gesuchte Skandale 2008,5
Meistgesuchte Rezepte 2008,5
Celebridades,25
Eleições 2008,5
Futebol,5
Mais Pesquisados,5
Relaciondada com o Google,5
Top Celebrities,5
Top News Sources,5
Top Personal Electronics,5
Top Political Parties,5
Economía y Política,5
Más Populares,20
Personajes Del Año,5
年度搜索最多 ,5
年度搜索最多的“是什么”,5
年度新词汇,5
年度热点中国事件,5
年度热点国际事件,5
Economía,5
Escándalos,5
Los Viajes,5
Universidades,5
"Kauzy Ceských Politiků, Slavných A Bohatých",5
Nejvyhledávanější,5
Oblíbené Sporty v Čechách,5
České Celebrity,5
"Český, česká, české...",5
Film og TV,5
Kendte,5
Medier,5
Mest Populære,5
Rejser og Ferier,5
Top Companies,5
Top Finnish Celebrities,5
Top Finnish Cities,5
Top Media,5
Clubs et Fédération,5
Jeux en ligne,5
Recherches,25
Beliebteste Bildersuchen,5
Meistgesuchte Bücher,5
Meistgesuchte Nachrichten,5
Meistgesuchte Personen,10
人物,25
數碼產品,5
新聞,5
熱門關鍵字,5
社會時事,5
Top 'How To' Searches,5
Top Bollywood Celebrities,5
Top Holiday Destinations,5
Top Searches On Mobile,5
Concerto,5
Incentivi,5
Programmi Televisivi,5
Ricerche Più Popolari ,5
Ricette,35
Car Brands,15
Google News Local Searches,15
Local Celebrities,15
Local Travel Destinations,10
Conciertos en México,5
Escándalos de Celebridades,5
Futbol,5
Reforma Energética,5
Kaartjes,5
Meest Populair,5
Top 'John' Searches,5
Top 'Tickets' Searches,5
Top 'Who Is' Searches,5
Top Celebrities Searches,5
Celebrities,65
Fillipino-Related,5
Finanse I Praca,5
Inspiracje,5
Najczęściej Wyszukiwane,5
Programy TV,10
Sławni,5
"""Кто такой..?""",5
"""Я хочу изменить...""",5
Люди,45
Популярные запросы,10
События,30
Hawker Centres,5
Local Foods,5
Top Local Celebs,5
Top Newsworthy,5
Top Politicians,5
Top Sports Teams,5
연예인 부문,5
운동선수 부문,5
정치인 부문,5
최다 검색어 TOP 10,5
최다 검색어 TOP 10 (포털 제외),5
Blogs,10
Ministers,5
Serie,5
Sporty,5
Meist Gesuchte Begriffe ,5
Bilmärken,5
Meist Gesuchte Automarken,5
Meistgesuchte Begriffe ,5
Meistgesuchte Bilder,5
Meistgesuchte Orte,5
Myndigheter,5
Populäraste Sökorden,5
Svenska Kändisar,5
Utländska Kändisar,5
年度人物搜尋排行,5
年度台灣觀光景點搜尋,5
快速竄紅關鍵字搜尋排行 ,5
คำค้นหามาแรงที่เกี่ยวข้องกับซีเลบ,5
คำค้นหามาแรงที่เกี่ยวข้องกับพระราชวงศ์,5
คำค้นหามาแรงที่เกี่ยวข้องกับสถานที่ท่องเที่ยว ,5
คำค้นหามาแรงที่เกี่ยวข้องกับโอลิมปิก,5
ยอดนิยม,5
Top Economic Terms,5
Politicians,85
It's the Economy,5
Events: Fastest Rising Searches,5
Fastest Falling,5
Fastest Rising,65
Fastest Rising Searches: First Half of 2009,5
Fastest Rising Searches: Second Half of 2009,5
Festivals: Fastest Rising Searches,5
Food and Drink,5
Looking to Buy Online: Fastest Rising Searches,5
Mobile Application Searches: Fastest Rising,5
News Searches: Fastest Rising,5
People: Fastest Rising,5
Searches Related to Economy: Fastest Rising,5
Emerging,5
Fastest Growing Searches,5
"Bargain Hunting (Fastest Rising, Dutch)",5
"Bargain-Hunting (Fastest Rising, French)",5
Fastest Rising ,5
"Hottest tickets (fastest rising, Dutch)",5
"Hottest tickets (fastest rising, French)",5
Emergentes,60
Fastest rising / En plus forte progression,5
Fastest-rising News searches,5
Recherches d’actualités en plus forte progression,5
Recherches « comment faire » les plus fréquentes,5
上升最快,5
上升最快股票,5
Hrvatska estrada - pretrage u porastu,5
Politika - pretrage u porastu,5
Pretrage u porastu,5
Největší skokani na Google.cz,5
Největší skokani showbizu,5
Største vækst i antal søgninger,5
Nopeimmin nousseet haut,5
Nopeimmin nousseet syömiseen liittyvät haut,5
Divertissement,5
Recherches en progression,5
Schnellste Aufsteiger unter den Suchbegriffen,10
Emergent,5
竄紅關鍵字,10
I Termini di Crescente Popolarità,5
モバイル急上昇ワード,5
急上昇ワードランキング,5
Categorie: financieel (snelst stijgend),5
Goedkoop / goedkope... (snelst stijgend),5
Snelst stijgende zoekopdrachten,5
Song Lyrics,45
Najszybciej zyskujące na popularności,25
Самые быстро растущие запросы года,5
급상승어 TOP 10,5
Sökningar som ökat mest i popularitet,5
Meist gesuchte Personen in 2009 verglichen mit 2008,5
快速竄紅關鍵字搜尋排行榜,5
ดาวรุ่งพุ่งแรง,5
Fastest Rising News Searches,5
Fastest Rising: what is ...,5
Restaurants,10
Top Trending,45
Books,25
Google.com Fastest Falling,5
Google.com Fastest Rising,5
Images,10
Maps Searches,10
Mobile Searches,10
Consumer Electronics,30
Falling Searches,15
Food & Drink,15
Health,5
Humanitarian Aid,5
People,760
Schnellst wachsende Suchbegriffe,5
Fastest Rising Local Newsmakers,5
Fastest Rising Local Travel Destinations,5
Music Artists,35
News,150
Google Maps,5
Google News,10
Fastest Rising Searches,90
Online Games,5
Soccer,10
TV,45
Fastest Rising Searches ,100
Plus fortes progressions – Personnalités,5
Requêtes avec la plus forte progression Google Actualités,5
Menschen,15
Suchanfragen,30
娛樂資訊,5
關鍵字,15
○○とは,20
レシピ,5
商品（ガジェット）,5
年間ランキング,5
急上昇ワード,10
話題の人,25
Music,20
Norwegians,5
Быстрорастущие запросы,5
Dishes,5
Games,80
Trends,5
TV Programs,10
Fastest Rising Maps Searches,5
Gadgets,80
Show Biz,5
Пошукові запити з найбільшим темпом зростання,5
Baseball,5
Basketball,5
Cars,10
Costumes,5
Dance Moves,10
Donate To,5
Economy,10
Football,5
Google Image Searches,5
Google Maps Searches,5
Google News Searches,5
Home Appliances,5
Literature,5
News Sources,20
Political Scandals,5
Politics,5
Pop Culture / People,5
Pop Culture / Songs,5
Pop Culture / Toys,5
Pop Culture / TV Shows,5
Product Searches,5
Quirky Environmental ,5
Recalls,5
Science,5
Workouts,5
Airlines,5
Events,125
Feature Films,5
Google+ Hashtags,10
Performing Artists,15
Videos,5
Actors,85
Local Searches,5
Musicians,80
National Bands,5
Shopping,5
Songs,215
World Cities,5
Australian Celebrities,5
Australian News Moments,5
Top Lyric Searches,5
Trending Beers,5
Austrian Cities,5
Austrian Politicians,5
Food & Drinks,50
Football Clubs,5
Belgian Celebrities,5
Belgian Festivals,5
Belgian Movies,5
Belgian Musicians,5
Belgian TV Shows,5
DJ's,5
Career\\Job,5
What is...?,175
Emerging Bands and Musicians,5
Food & Dishes,5
Image Searches,55
Colombian Politicians,5
Kids Shows,5
Danish Celebrities,5
Fashion Labels,25
Trending Celebrities,5
Baking Recipes,5
Food Recipes,5
Mobile Devices,5
Sport Events,10
Television,10
Chansons,15
Comment...,15
Musiciens,15
Nourriture,5
Qu'est-ce que...?,5
Recherche d'images,5
Sport,50
Technologie,10
Automarken,5
Bildersuche,5
Politiker,5
Suchbegriffe,35
Recipe,20
Car Models,15
Indonesian Songs,5
People (Global),5
People (Indonesian),5
Music Bands,5
Sports Teams,30
Films,35
Exhibitions,5
Movies (Cinema),5
Tickets for Football Matches,5
What does it mean...?,5
CM/コマーシャル,5
Devices\\Gadgets,5
ハウツー／方法,5
注目のスポット,5
注目の映画,5
話題のニュース,5
話題の人（女性）,35
話題の人（男性）,35
What is...? (Acronyms),5
What is...? (Health),5
What is...? (Technology),15
Smartphones,10
Food,10
Olympians,10
Dutch House Market,5
Supermarkets,5
New Zealand News Events,5
New Zealanders,10
Nigerian Musicians,10
Sports Games,5
Local Newsmakers,5
Top News,5
In-Country Olympians,5
Football Matches,5
Еда,5
Как...,5
Олимпийцы,5
Песни,5
Покупки,10
Почему...?,5
Путешествия,5
ТВ-программы,5
Фильмы,15
Что такое...?,10
Gadgets & Phones,10
Local Brands,10
Sports Events,30
TV Series,15
Vehicles,5
What is...? (Health Focus),10
Electronic Devices,5
Búsquedas,100
Búsquedas de imágenes,5
Cómo...,100
Destinos de viaje,5
Gente,5
¿Qué es...?,50
Artists,5
Local Events,5
Swiss Celebs,5
Gadgets\\Tech,5
What is...? (Business Finance Focus),5
Місця для поїздок,5
Події 2012,5
Пошукові запити,5
Українські співаки,5
Фільми,5
Чому…,5
Що таке…,5
Як…,5
Їжа та напої,5
Global Football Players,5
Annual Events of 2012,5
Apparel Brands,5
Authors,10
Calorie Searches,20
Colleges & Universities,5
Donations,15
Election Issues,5
Endangered Species,10
Events of 2012,5
Food Delivery,5
Google Doodles of 2012,5
Halloween Costumes,5
Health Issues,10
Hybrid Card,5
Jewelry Brands,10
Mobile\\Tablet Apps,5
Museums,5
Phones,15
Political Gaffes,5
Reality TV Stars,10
Shoe Brands,10
Song Lyric Searches,5
Stocks,10
Symptoms,15
Tech Gadgets,15
Toys,20
US Politicians,5
Bài hát,15
Tìm kiếm,5
YouTube Videos,10
Acontecimientos,115
Bandas y músicos,30
Canciones,100
Deportistas,115
Eventos deportivos,80
Películas,250
Personas,95
Programas de TV,75
Tecnología,35
Digital/Internet Lingo,10
News Items of 2013,10
Overall,50
Blockbuster,5
Events & Ereignisse,5
Gadgets & Technik,5
Promis,5
"Skandale, Pleiten & Aufreger",5
Top-Trends des Jahres,5
Trending Searches,40
Belgians ,5
Fastest Rising People International,5
Automobilístico,5
Educação,5
Entretenimento Multitelas,5
Esportes,5
Famosos,5
Filmes,40
Momentos,5
Músicas,20
Novelas,15
Poder,5
Seu Bolso,5
Top 10,20
Думи,5
Популярни търсения - диети,5
Популярни търсения - Как да...,5
Популярни търсения - Какво е...,5
Популярни търсения - песни,5
Популярни търсения - почивка в...,5
Популярни търсения - рецепти,5
Популярни търсения - събития,5
Популярни търсения - ТВ предавания,5
Хора,10
Canadian Sports Teams,5
Canadians,25
Diet,20
Tendencias de Búsqueda,20
为什么,5
搜索关键词,10
游戏,5
Acontecimientos ,5
Actores,5
Cantantes,45
Cómo,110
Eventos Deportivos,30
Programas de Televisión/Películas,5
Qué es,70
Telecomunicaciones/Hardware,5
Tendencias,60
Intérpretes Musicales,10
Popularne pjesme,5
Popularne sapunice,10
Popularni događaji,5
Pretrage,5
Lokální osobnosti,5
Politici,5
Skokani,25
Světové osobnosti,10
Technologické novinky,10
Hvad er?,5
Hvor ligger?,5
Mennesker,5
Musiker,10
Slankekur,5
TV-program,20
Trending People - الاشخاص الأكثر رواجاً,15
Trending Searches - كلمات البحث الأكثر رواجاً,15
Inimesed,10
Otsingud,5
Üritused,5
Henkilöt,30
Kuinka...?,20
Kännykät,5
Matkailu,5
Mikä on...?,15
Miten...?,15
Reseptit,20
Talous,5
Tapahtumat,15
Trending,15
Urheilijat,20
Vähittäiskauppa,5
Couturiers et designers,5
Evénements,5
Expositions,5
Gifs,5
High Tech,10
Personnalités politiques,10
Que signifie... ?,5
Recettes,10
Sportifs,15
Sujets d'actualité,5
Musik,25
Nachrichten,10
Technik,10
Top Events,5
Top Trending TV Series,5
社會話題,5
Keresések,10
Személyek,5
Penelusuran,10
Tokoh,25
Cities,5
Sports Personalities,10
Words,5
איך?,10
אירועי ספורט,10
גברים ישראלים,5
הקמפיינים של השנה,5
כוכבי ריאליטי,5
כלי רכב,5
מובייל,5
מסעדות,5
מפלגות,10
מתכונים,5
נפרדנו מהם השנה,10
נשים ישראליות,5
"סדרות חו""ל",5
סדרות ישראליות,5
"סלבס חו""ל",5
סלבס ישראל,5
סרטים,30
עשרת הגדולים,25
פוליטיקאים,10
קניות אונליין,5
תוכניות ריאליטי,5
תופעות 2013,5
תופעות דיגיטל,5
Al cinema,5
Cambiare,5
Come fare,15
Cosa significa,15
Fa dimagrire,5
Mangiare,5
Perché,15
Ricerche emergenti,5
Vendere,5
CM,5
○○はいつ？,5
○○はどこ？,5
○○は誰？,5
なぜ○○？,5
アニメ,5
ガジェット（「価格」と一緒に検索された製品名）,5
ゲーム,5
タブレット急上昇,5
ダイエット,5
ドラマ,25
ニュース,20
ハウツー,5
モバイル急上昇,5
三重,5
京都,5
会社（「入社」と一緒に検索された企業名）,5
佐賀,5
兵庫,5
北海道,5
千葉,5
和歌山,5
埼玉,5
大分,5
大阪,5
奈良,5
宮城,5
宮崎,5
富士山,5
富山,5
山口,5
山形,5
山梨,5
岐阜,5
岡山,5
岩手,5
島根,5
広島,5
徳島,5
急上昇,25
愛媛,5
愛知,5
新潟,5
映画,25
東京,5
栃木,5
沖縄,5
滋賀,5
熊本,5
石川,5
神奈川,5
福井,5
福岡,5
福島,5
秋田,5
群馬,5
茨城,5
長崎,5
長野,5
青森,5
静岡,5
香川,5
高知,5
鳥取,5
鹿児島,5
"Events, Trending",5
"People, Trending",10
"TV Shows, Trending",15
Cilvēki,5
Meklējumi,5
Paieškos,5
Žmonės,10
Car Makes,5
Malaysian TV Series,5
Trending Malaysian Celebrities,5
Trending Malaysian Movies,5
Trending Movies,25
Trending Songs,15
Ciudades,5
Coches,5
Deportes,100
Moda,5
Música,90
Noticias,20
Noticias de entretenimiento,5
Videojuegos,25
Afbeeldingen,5
Feestdagen,5
Festivals & concerten,5
Gebeurtenissen Koninklijk Huis,5
Hoe werkt...,10
Mensen,5
Snelststijgende zoekopdrachten,5
Supermarkten,5
Tv-programma's,5
Top Trending Events,10
Hva..?,5
Hvem...?,15
Hvor...?,10
Hvordan...?,25
Hvorfor...?,10
Czym jest... ?,5
Filmy,45
Jak... ?,15
Ludzie,40
Muzyka polska,5
Muzyka zagraniczna,5
Sportowcy,5
Wydarzenia,35
Atletas,5
Pesquisas,10
Intérpretes musicales,5
Ce este...?,20
Cum să pictezi,5
Căutari,5
Diete,25
Evenimente muzicale,5
Evenimente sportive,25
Filme,60
Persoane,10
Rețete,30
В тренде,5
Как?,10
Мемы,15
Научиться...,5
Почему?,10
Сколько стоит?,5
Что такое?,10
Trending people,5
Trending searches,5
Ljudi,5
Popularne pesme,5
Pretraga,5
Trending 'How to...',5
Trending 'What is...',5
Trending Events,20
Trending Gadgets,10
Trending People,10
Trending Recipes,15
Lokálne osobnosti,5
Zahraničné osobnosti,20
Dogodki,25
Osebe,20
SA Brands,5
SA Politicians,5
SA Women,5
IT 기기,5
건강,5
게임,35
노래,5
도서/전시/공연,5
만화,5
앱,5
영화,35
운동선수,5
자동차,10
종합,30
화제의 인물,5
"""Cómo...""",5
"""Qué es...""",5
Acontecimientos Deportivos,5
Acontecimientos Sociales,5
Apps,25
Dietas,15
Electrónica,5
Palabras,5
Artister,15
Film,45
"Frågor som börjar med ""Hur""",5
"Frågor som börjar med ""Vad""",5
"Frågor som börjar med ""Varför""",5
Idrottsutövare,5
Mat,25
Personer,35
Övergripande,10
Schweizer Sportler,5
Schweizer Veranstaltungen,15
TV Programme,5
Was ist...?,5
3C,5
社會議題,5
電影,5
คำค้นดาวรุ่งพุ่งแรงประจำปี,10
เสาะหารถรุ่นถูกใจ,5
แก็ดเจ็ตและเทคโนโลยี,10
DİZİLER,5
FİLMLER,5
KİŞİLER,5
NASIL YAPILIR?,5
TARİFLER,5
YÜKSELEN ARAMALAR,5
ŞARKILAR,5
Stella Amony,5
Людина року,10
Найпопулярніші запити,35
Подія року,5
Покупка року,20
Серіал року,25
Телевізійне шоу року,10
Фільм року,25
Чому?/Почему?,10
Що таке/Что такое?,5
Як?/Как?,10
2013 Events,5
Football Stars,5
How to...?,70
Annual Events,5
Appetizers,5
"Atlanta, GA",5
"Austin, TX",5
Beer,15
"Boston / Cambridge, MA",5
Boy Names,5
Car Companies,5
"Chicago, IL",5
Colleges and Universities,5
"Dallas, TX",5
"Denver, CO",5
"Des Moines, IA",5
Destination Wedding Locations,5
"Detroit, MI",5
Famous Internet Animals,5
Female Politicians,5
Girl Names,5
Honeymoon Locations,5
Hybrid and Electric Cars,5
"Kansas City, KS",5
"Los Angeles, CA",5
Male Politicians,5
Memes,60
"Miami, FL",5
MLB Teams,20
Mobile/Tablet Apps,5
"New Cars, Trending",5
"New York City, NY",5
"Oklahoma City, OK",5
"Philadelphia, PA",5
"Portland, OR",5
"Sacramento, CA",5
"San Francisco, CA",5
"Seattle, WA",5
Social Media Sites,5
TV Series Finales,5
"Washington, D.C.",5
Equipos de fútbol,10
Más buscados,5
Qué es...,35
Bài hát Việt,10
Công nghệ ,5
Hiện tượng Mạng Xã hội,10
Nam Nghệ sĩ Việt,10
Nữ Nghệ sĩ Việt,10
Phim Hoạt hình ,5
Phim Truyền hình Nhiều tập,5
Phim Điện ảnh,10
Thương Hiệu ,5
Trò chơi Online ,5
Xu hướng Tìm Kiếm ,5
Ăn uống,5
Global News,20
Google Doodles of 2014,10
Loss,80
World Cup Matches,15
Juegos,5
Qué...,60
Aussies,20
Digital / Internet Lingo,20
Global People,25
News Items of 2014,5
Suchanfragen Top 10,5
Krisen & Katastrophen,5
Küche & Kochen,5
Stars International,15
Snelst stijgende/ Les plus grandes progressions,5
Persoonlijkheden internationaal/ Personnalités internationales,5
Persoonlijkheden nationaal/ Personnalités nationales,5
Aplicativos,5
Bandas,5
Boleiros,5
Cantoras,5
Cantores,5
Casamentos,10
Datas,5
Entretenimento,5
Homens,5
Mulheres,5
Músicas Internacionais,5
Músicas Nacionais,5
Perdas,15
Vídeos do YouTube,5
Canadian Teams,10
Literatura,5
Recetas,45
Tareas y términos escolares,5
Najčešće pretraživane osobe u Hrvatskoj,10
Najčešće pretraživani događaji,10
Největší skokani mezi lokálně známými osobnostmi,5
Největší skokani za rok 2014,5
'Hvad ... ?',5
Danske Kvinder,5
Danske Mænd,5
Kalorier i ...,5
Kendte i Verden,5
søgninger,5
TV serier,5
Elokuvat,15
Kappaleet,5
Kaupallliset haut,5
Mikä on,5
Suomalaiset henkilöt,10
Televisio-ohjelmat,5
Ulkomaalaiset henkilöt,5
Urheilu,15
Viihde,25
Yhteiskunta,10
Acteurs,5
Comment,5
Emissions TV,10
Evénements culturels,5
Evénements sportifs,5
Jeux Vidéo,5
Personnalités Politiques,5
Pourquoi,5
Events of 2014,10
Ghallywood Stars,5
Ghanaian Musicians,5
Mobile Phones,20
Sport Personalities,10
Who is ...,5
"Ταχύτερα αυξανόμενες αναζητήσεις γεγονότων/ Events, trending",5
"Ταχύτερα αυξανόμενες αναζητήσεις προσώπων/ People, trending",5
Ταχύτερα αυξανόμενες αναζητήσεις/ Top trending,5
熱爆關鍵字,35
熱爆2014全球盛事,5
熱爆國際娛樂名人,5
熱爆國際頭條,35
熱爆遊戲,20
熱爆電影,15
A legolcsóbb...,5
Hogyan...?,5
Külföldi személyek,5
Magyar személyek,5
Receptek,20
TV-műsorok,10
Tokoh Indonesia,5
Berita Nasional,5
Apa Itu...,15
Gadget,15
Lagu,25
Otomotif,10
Resep Makanan,5
Acara Televisi,5
Pertandingan Piala Dunia,5
Aplikasi Chat,5
Penyanyi Korea,5
"""How To"" Searches",5
איך עושים דברים 2014,5
אירועי 2014,5
החיפושים החמים,5
סלבריטאים,10
Biglietti emergenti,5
Come fare emergenti,5
Cosa significa emergenti,5
Mete di vacanza emergenti,5
Parole emergenti,5
Parole emergenti associate a 2014,5
Perchè,5
Personaggi emergenti,5
Ricette emergenti,5
Star dei mondiali emergenti,5
話題の男性,5
話題の女性,5
故人,10
Japan,10
Ramen,5
人気のキャラクター,5
Kisumu,5
Mombasa,5
Nairobi,5
Searches (Carian),15
People (Orang),15
Mobile Searches (Carian Mudah Alih),5
Car Models (Model Kereta),10
Malaysian Celebs (Selebriti Malaysia),5
Malaysian Movies (Filem Malaysia),5
Movies (Filem),15
Sports Personalities (Personaliti Sukan),5
TV Series (Siri TV),5
World Cup Matches (Lwn Piala Dunia),5
Personas de interés,10
Snelst stijgende zoektermen,5
Snelst stijgend 'Hoe werkt?',5
Trending persoonlijkheid nationaal,5
Kiwis,30
News items of 2014,5
Nigerian Music Artistes,5
International Athletes,5
Nigerian Sports Personalities,5
Nollywood,5
What is ...,5
Øker mest,5
Local Destinations,5
Newsmakers,5
Co...?,5
Muzyka,5
Najszybciej Zyskujące na Popularności,5
Como...?,20
Figuras públicas internacionais,10
Ce Este...?,5
Evenimente Sportive,5
General,35
Топ быстрорастущих запросов,15
Люди года,15
Лайфхак года или как...?,5
Книги года,5
Купить дешево,5
Que signifie,5
International News,30
Singapore News,15
Sportspersons,5
Running Events,5
What is…,5
Mobile,5
Známe osobnosti,15
'kako',5
Osebe iz Slovenije,5
Prireditve,5
Current Affairs,15
South African People,10
Palabras de mayor crecimiento en 2014,5
¿Cómo...?,45
"Frågor som börjar med ""Hur...?""",10
"Frågor som börjar med ""Vad...?""",10
"Frågor som börjar med ""Varför...?""",5
Skandale & Aufreger,15
Veranstaltungen,5
快速竄紅人物排行榜,5
快速竄紅關鍵字排行榜,5
快速竄紅電影排行榜,5
快速竄紅電視劇排行榜,5
คนดังประจำปี (ชาย),5
คนดังประจำปี (หญิง),5
ตามข่าวจากสื่อ,5
ท่องเที่ยวและที่พัก,5
ภาพยนตร์จอเงิน,5
ละครและซีรี่ย์ฮิต,5
เสาะหายานยนต์,5
Dizi,25
Kişiler,15
Nasıl Yapılır?,15
Televizyon Programları,5
Yemek Tarifi,10
Şarkı,15
Рецепт,5
Чому?,5
Що таке?,10
Як?,10
.gifs,5
Actresses,15
Celebrity Pregnancies,10
Celebrity Weddings of 2014,5
Fashion Designers,15
IPO's of 2014,5
Losses of 2014,5
MLB Players,15
Natural Events,15
NBA Players,15
NFL Players,15
Podcasts,5
Red Carpet Appearances,5
Selfies,20
Workouts and Exercises,20
Jugadores uruguayos en el Mundial,5
¿Qué es...,5
Phim Hoạt hình,5
Phim Truyền hình,5
Show Truyền hình,5
Thể thao,5
Trò chơi online,5
Xu hướng,5
Điện thoại,5
Global Sporting Events,15
Consumer Tech,35
News Items of 2015,10
Die Suchbegriffe des Jahres,10
Schlagzeilen des Jahres,10
Politikerinnen & Politiker,5
Stars Österreich,5
Was sind...,5
Wie mache ich...,5
Feste & Festivals,5
Запрос года,10
Персона года,35
Покупка года,30
Сериал года,30
Фильм года,35
Les recherches « Comment ça marche » en progression,10
Les recherches « Qu’est-ce que » en progression,10
Trending Belgische persoonlijkheden / Les personnalités belges en progression,15
Trending evenementen / Les événements en progression,5
Trending persoonlijkheden / Les personnalités en progression,5
Trending zoekopdrachten 2015 / Les recherches en progression en 2015,5
Trending zoekopdrachten overlijdens / Les recherches en progression sur les décès,5
Trending zoekopdrachten ‘hoe werkt het’,5
Trending zoekopdrachten ‘Wat is’,5
Atores,10
Atrizes,10
Carros,5
Como fazer...,10
Esportistas,15
Grávidas,5
Letras,5
Músicos,15
O que é...,10
Pessoas,10
Receitas,15
Canadian Politicians,10
Economy Searches,5
Hechos Noticiosos,15
Emergencias,5
Nos dejaron...,5
Los Favoritos de la TV,5
Términos de mayor tendencia en crecimiento,10
Cómo hacer,20
Hechos,10
Programas de Televisión,10
Najčešće pretraživane TV emisije u Hrvatskoj,5
Najčešće pretraživano 'gdje je',5
Najčešće pretraživano 'kako',5
Najčešće pretraživano 'što je',5
Největší skokani za rok 2015,5
Největší skokani mezi celebritami,5
"Největší skokani se slovem ""jak""",5
"Největší skokani se slovem ""proč""",5
"Největší skokani se spojením ""co je""",5
"Největší skokani se spojením ""kde je""",5
"Největší skokani se spojením ""kdo je""",5
"Největší skokani se spojením ""kdy je""",5
Danske kvinder,5
Danske mænd,5
Søgninger,15
Danske politikere,5
Danske sportsfolk,10
Danske tv-serier,5
Hvad...?,10
Hvem er...?,5
Kalorier i...,5
Udenlandske kendte,5
الأبحاث,45
الأحداث,30
الأغاني,40
البرامج التليفزيونية,5
الشخصيات العامة,40
Miten tehdään...?,10
Muusikot,10
Nousussa olevat,5
Näyttelijät,5
Pelit,10
Poliitikot,10
Teknologia,10
TV-ohjelmat,5
Ulkomaiset henkilöt,5
Actualités,10
Chanteurs,5
Définitions,20
Jeux vidéos,5
Séries TV,5
Week end à ...,5
Évènements sportifs,5
Schlagzeilen,30
Terms,5
Ταχύτερα αυξανόμενες αναζητήσεις,10
Επικαιρότητα,10
Διακοπές,5
Εισητήρια,5
Πώς να,5
Ταινίες,15
Ταξίδια στο εξωτερικό,5
熱爆本地頭條,30
熱爆本地時事人物,10
熱爆本地大型活動,5
熱爆全球盛事,5
熱爆國際時事人物,5
熱爆本地娛樂名人,5
熱爆流動裝置,10
Felkapott keresések,30
Felkapott magyar személyek,5
Felkapott külföldi személyek,5
Felkapott hírek,5
Felkapott koncertek,5
Felkapott TV-műsorok,5
Felkapott... akarok,5
Felkapott...ki?kik?,5
Penelusuran Terpopuler,30
Peristiwa Nasional,25
Peristiwa Internasional,15
Bagaimana Cara...,5
Film Indonesia 2015,5
Game,5
Meme,10
Mode & Kecantikan,5
Resep,25
Selebriti,20
Music Acts,10
News Moments,10
People of Sport,10
Politicans,5
Top Ten,10
When Is...,5
Who Is...,5
איך,25
אירועי החדשות,5
טלויזיה - סדרות ותוכניות,5
טלויזיה - ריאליטי,10
נפרדנו השנה,20
סלבס,5
סלולרי,10
שירים,5
Parole,30
Personaggi,25
Parole emergenti associate a 2015,5
Mete di vacanza,5
Biglietti,25
話題の人（総合）,15
とは,5
Manga,5
Sushi,5
Trending 'How to' Food and Nutrition searches,5
Trending 'How to' Love and Relationships searches,5
Trending 'How to' Reproductive health searches,5
Trending 'What is' Diseases,5
Trending Global Personalities,15
Trending Kenyan personalities,5
Trending Music,5
Trending People we lost in 2015,5
Trending TV Series,5
Financial Terms (Sudut Kewangan),5
Mobile Devices (Peranti Mudah Alih),5
Games (Permainan),10
